,finalized_title,standard_title,Available Globally?,Release Date,Hours Viewed,Runtime_minutes,Views,release_year,type,genres,production_countries,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,description,age_certification,runtime,seasons
0,Bridgerton,bridgerton,Yes,5/16/24,733800000,479.0,91900000,2020,SHOW,"['drama', 'history', 'romance']",['US'],7.3,129085.0,106.118,8.2,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",TV-MA,62,4.0
1,The Gentlemen,the gentlemen,Yes,3/7/24,507300000,401.0,75900000,2019,MOVIE,"['crime', 'action', 'comedy']","['US', 'GB']",7.8,325385.0,67.919,7.687,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",R,113,1
4,Love Is Blind (2020),love is blind,No,2/14/24,299300000,859.0,20900000,2020,SHOW,"['reality', 'romance']",['US'],6.1,7863.0,1.4,7.7,"Singles who want to be loved for who they are, rather than what they look like, have signed up for a less conventional approach to modern dating.",TV-MA,54,5.0
7,Cocomelon,cocomelon,No,5/31/20,55400000,178.0,18700000,2018,SHOW,"['animation', 'comedy', 'family']","['US', 'GB']",4.7,570.0,3.372,7.1,"In the town of Cocomelon, baby JJ and his siblings go on fun every-day adventures with nursery, play, exploration, and learning - situations that any preschooler could relate to. Fun, relatable stories set to toe-tapping songs.",TV-PG,6,4.0
8,Masha and the Bear,masha and the bear,No,,56900000,391.97452229299364,17400000,2009,SHOW,"['family', 'action', 'animation', 'comedy']",['RU'],7.5,3169.0,38.171,6.9,"Masha is an energetic three-year-old who can’t seem to keep herself out of trouble. Bear is a warm, fatherly figure that does his best to guide his friend and keep her from harm, often ending up the unintended victim of her misadventures.",TV-Y,7,5.0
9,Dave Chappelle (2017),dave chappelle,No,12/31/23,16500000,57.0,17400000,2017,SHOW,"['comedy', 'documentation']",['US'],8.7,2798.0,4.516,7.6,"Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering, fresh stand-up specials.",Unkown,66,1.0
15,Sweet Tooth,sweet tooth,Yes,6/6/24,102800000,378.0,16300000,2021,SHOW,"['drama', 'scifi', 'fantasy', 'action']",['US'],7.8,50215.0,63.287,8.0,"On a perilous adventure across a post-apocalyptic world, a lovable boy who's half-human and half-deer searches for a new beginning with a gruff protector.",TV-14,45,2.0
18,Wrong Side of the Tracks,wrong side of the tracks,Yes,2/23/24,137100000,593.0,13900000,2021,SHOW,"['action', 'crime', 'drama', 'thriller']",['ES'],6.7,1671.0,27.824,5.7,"When his teenage granddaughter falls victim to the drug dealers overtaking his neighborhood, a fed-up war veteran takes matters into his own hands.",TV-MA,71,2.0
19,Jurassic World: Camp Cretaceous,jurassic world,Yes,5/24/24,53800000,236.0,13700000,2020,SHOW,"['action', 'animation', 'scifi', 'family']",['US'],7.5,8022.0,259.059,8.0,Six teens attending an adventure camp on the opposite side of Isla Nublar must band together to survive when dinosaurs wreak havoc on the island.,TV-PG,24,5.0
20,Warrior,warrior,No,,109600000,486.0,13500000,2018,SHOW,"['action', 'drama', 'crime']",['DK'],6.7,2010.0,5.717,6.5,A war veteran plagued by guilt over his final mission teams up with his best friend's widow to infiltrate a dangerous Copenhagen biker gang.,TV-MA,42,1.0
21,Gabby's Dollhouse,gabbys dollhouse,Yes,1/5/21,54200000,242.0,13400000,2021,SHOW,"['animation', 'comedy', 'family', 'fantasy']",['US'],7.0,379.0,15.275,9.0,This colorful series leads preschoolers room to room through a fantastical dollhouse of delightful mini-worlds and irresistible kitty characters.,TV-Y,24,4.0
25,One Piece (1999),one piece,Yes,8/31/23,92000000,454.0,12200000,1999,SHOW,"['animation', 'action', 'comedy', 'drama', 'fantasy']",['JP'],8.8,117129.0,143.457,8.764,"Years ago, the fearsome Pirate King, Gol D. Roger was executed leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new King of the Pirates. Monkey D. Luffy, a boy who consumed a ""Devil Fruit,"" decides to follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and that he's surrounded by a bevy of skilled fighters and thieves to help him along the way. Luffy will do anything to get the One Piece and become King of the Pirates!",TV-14,23,21.0
29,Avatar: The Last Airbender,avatar,No,,98800000,488.0,12100000,2005,SHOW,"['scifi', 'animation', 'action', 'family', 'fantasy']",['US'],9.3,303666.0,56.915,8.7,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",TV-Y7,24,3.0
